dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
CharacterTrajectories,CWT,sum,0.8983286908077994,MiniRocket,Ridge
CharacterTrajectories,CWT,subtraction,0.5501392757660167,,Ridge
CharacterTrajectories,CWT,subtraction,0.5877437325905293,Rocket,Ridge
CharacterTrajectories,CWT,subtraction,0.5250696378830083,MiniRocket,Ridge
CharacterTrajectories,CWT,dot_product,0.6991643454038997,,Ridge
CharacterTrajectories,CWT,dot_product,0.9164345403899722,Rocket,Ridge
CharacterTrajectories,CWT,dot_product,0.9094707520891364,MiniRocket,Ridge
CharacterTrajectories,CWT,element_wise,0.9352367688022284,,Ridge
CharacterTrajectories,CWT,element_wise,0.9373259052924792,Rocket,Ridge
CharacterTrajectories,CWT,element_wise,0.9254874651810584,MiniRocket,Ridge
Cricket,RP,sum,0.4166666666666667,,Ridge
Cricket,RP,sum,0.9027777777777778,Rocket,Ridge
Cricket,RP,sum,0.5694444444444444,MiniRocket,Ridge
Cricket,RP,subtraction,0.5416666666666666,,Ridge
Cricket,RP,subtraction,0.9166666666666666,Rocket,Ridge
Cricket,RP,subtraction,0.625,MiniRocket,Ridge
Cricket,RP,dot_product,0.1666666666666666,,Ridge
Cricket,RP,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,RP,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,RP,element_wise,0.2638888888888889,,Ridge
Cricket,RP,element_wise,0.5555555555555556,Rocket,Ridge
Cricket,RP,element_wise,0.3333333333333333,MiniRocket,Ridge
Cricket,MTF,sum,0.5555555555555556,,Ridge
Cricket,MTF,sum,0.7916666666666666,Rocket,Ridge
Cricket,MTF,sum,0.5,MiniRocket,Ridge
Cricket,MTF,subtraction,0.3611111111111111,,Ridge
Cricket,MTF,subtraction,0.7361111111111112,Rocket,Ridge
Cricket,MTF,subtraction,0.4444444444444444,MiniRocket,Ridge
Cricket,MTF,dot_product,0.1666666666666666,,Ridge
Cricket,MTF,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,MTF,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,MTF,element_wise,0.25,,Ridge
Cricket,MTF,element_wise,0.4305555555555556,Rocket,Ridge
Cricket,MTF,element_wise,0.2638888888888889,MiniRocket,Ridge
Cricket,GASF,sum,0.4722222222222222,,Ridge
Cricket,GASF,sum,0.7638888888888888,Rocket,Ridge
Cricket,GASF,sum,0.6944444444444444,MiniRocket,Ridge
Cricket,GASF,subtraction,0.5972222222222222,,Ridge
Cricket,GASF,subtraction,0.7638888888888888,Rocket,Ridge
Cricket,GASF,subtraction,0.5277777777777778,MiniRocket,Ridge
Cricket,GASF,dot_product,0.1666666666666666,,Ridge
Cricket,GASF,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,GASF,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,GASF,element_wise,0.4722222222222222,,Ridge
Cricket,GASF,element_wise,0.8055555555555556,Rocket,Ridge
Cricket,GASF,element_wise,0.5694444444444444,MiniRocket,Ridge
Cricket,GADF,sum,0.5833333333333334,,Ridge
Cricket,GADF,sum,0.9027777777777778,Rocket,Ridge
Cricket,GADF,sum,0.8194444444444444,MiniRocket,Ridge
Cricket,GADF,subtraction,0.5138888888888888,,Ridge
Cricket,GADF,subtraction,0.9166666666666666,Rocket,Ridge
Cricket,GADF,subtraction,0.8055555555555556,MiniRocket,Ridge
Cricket,GADF,dot_product,0.125,,Ridge
Cricket,GADF,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,GADF,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,GADF,element_wise,0.375,,Ridge
Cricket,GADF,element_wise,0.4861111111111111,Rocket,Ridge
Cricket,GADF,element_wise,0.3888888888888889,MiniRocket,Ridge
Cricket,FIRTS,sum,0.5833333333333334,,Ridge
Cricket,FIRTS,sum,0.9027777777777778,Rocket,Ridge
Cricket,FIRTS,sum,0.6805555555555556,MiniRocket,Ridge
Cricket,FIRTS,subtraction,0.5833333333333334,,Ridge
Cricket,FIRTS,subtraction,0.8333333333333334,Rocket,Ridge
Cricket,FIRTS,subtraction,0.7638888888888888,MiniRocket,Ridge
Cricket,FIRTS,dot_product,0.0,,Ridge
Cricket,FIRTS,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,FIRTS,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,FIRTS,element_wise,0.3888888888888889,,Ridge
Cricket,FIRTS,element_wise,0.5694444444444444,Rocket,Ridge
Cricket,FIRTS,element_wise,0.4166666666666667,MiniRocket,Ridge
Cricket,CWT,sum,0.5555555555555556,,Ridge
Cricket,CWT,sum,0.4583333333333333,Rocket,Ridge
Cricket,CWT,sum,0.3333333333333333,MiniRocket,Ridge
Cricket,CWT,subtraction,0.6666666666666666,,Ridge
Cricket,CWT,subtraction,0.625,Rocket,Ridge
Cricket,CWT,subtraction,0.5416666666666666,MiniRocket,Ridge
Cricket,CWT,dot_product,0.0972222222222222,,Ridge
Cricket,CWT,dot_product,0.0833333333333333,Rocket,Ridge
Cricket,CWT,dot_product,0.0833333333333333,MiniRocket,Ridge
Cricket,CWT,element_wise,0.25,,Ridge
Cricket,CWT,element_wise,0.25,Rocket,Ridge
Cricket,CWT,element_wise,0.25,MiniRocket,Ridge
DuckDuckGeese,RP,sum,0.16,,Ridge
DuckDuckGeese,RP,sum,0.32,Rocket,Ridge
DuckDuckGeese,RP,sum,0.32,MiniRocket,Ridge
DuckDuckGeese,RP,subtraction,0.22,,Ridge
DuckDuckGeese,RP,subtraction,0.28,Rocket,Ridge
DuckDuckGeese,RP,subtraction,0.22,MiniRocket,Ridge
DuckDuckGeese,RP,element_wise,0.2,,Ridge
DuckDuckGeese,RP,element_wise,0.18,Rocket,Ridge
DuckDuckGeese,RP,element_wise,0.2,MiniRocket,Ridge
DuckDuckGeese,MTF,sum,0.18,,Ridge
DuckDuckGeese,MTF,sum,0.36,Rocket,Ridge
DuckDuckGeese,MTF,sum,0.28,MiniRocket,Ridge
DuckDuckGeese,MTF,subtraction,0.14,,Ridge
DuckDuckGeese,MTF,subtraction,0.2,Rocket,Ridge
DuckDuckGeese,MTF,subtraction,0.24,MiniRocket,Ridge
DuckDuckGeese,MTF,element_wise,0.2,,Ridge
DuckDuckGeese,MTF,element_wise,0.2,Rocket,Ridge
DuckDuckGeese,MTF,element_wise,0.2,MiniRocket,Ridge
DuckDuckGeese,GASF,sum,0.16,,Ridge
DuckDuckGeese,GASF,sum,0.3,Rocket,Ridge
DuckDuckGeese,GASF,sum,0.22,MiniRocket,Ridge
DuckDuckGeese,GASF,subtraction,0.22,,Ridge
DuckDuckGeese,GASF,subtraction,0.32,Rocket,Ridge
DuckDuckGeese,GASF,subtraction,0.22,MiniRocket,Ridge
DuckDuckGeese,GASF,element_wise,0.2,,Ridge
DuckDuckGeese,GASF,element_wise,0.2,Rocket,Ridge
DuckDuckGeese,GASF,element_wise,0.2,MiniRocket,Ridge
DuckDuckGeese,GADF,sum,0.18,,Ridge
DuckDuckGeese,GADF,sum,0.34,Rocket,Ridge
DuckDuckGeese,GADF,sum,0.32,MiniRocket,Ridge
DuckDuckGeese,GADF,subtraction,0.14,,Ridge
DuckDuckGeese,GADF,subtraction,0.24,Rocket,Ridge
DuckDuckGeese,GADF,subtraction,0.28,MiniRocket,Ridge
DuckDuckGeese,GADF,element_wise,0.2,,Ridge
DuckDuckGeese,GADF,element_wise,0.2,Rocket,Ridge
DuckDuckGeese,GADF,element_wise,0.2,MiniRocket,Ridge
DuckDuckGeese,FIRTS,sum,0.14,,Ridge
DuckDuckGeese,FIRTS,sum,0.3,Rocket,Ridge
DuckDuckGeese,FIRTS,sum,0.32,MiniRocket,Ridge
DuckDuckGeese,FIRTS,subtraction,0.2,,Ridge
DuckDuckGeese,FIRTS,subtraction,0.22,Rocket,Ridge
DuckDuckGeese,FIRTS,subtraction,0.22,MiniRocket,Ridge
DuckDuckGeese,FIRTS,element_wise,0.24,MiniRocket,Ridge
DuckDuckGeese,CWT,sum,0.2,,Ridge
DuckDuckGeese,CWT,sum,0.24,Rocket,Ridge
DuckDuckGeese,CWT,sum,0.24,MiniRocket,Ridge
DuckDuckGeese,CWT,subtraction,0.12,,Ridge
DuckDuckGeese,CWT,subtraction,0.16,Rocket,Ridge
